year,Base case cost,Modeled solar power (pv)
2016,115079.485675,123993.864798
2017,140646.910153,148960.886676
2018,160351.066647,168167.170178
2019,188002.298056,195209.863676
2020,200677.238106,207506.893005
2021,209937.774451,216446.754425
2022,216471.555926,222705.959487
2023,220963.25131,226958.375372
2024,224521.442909,230292.468489
2025,228987.807783,234530.431225
2026,234789.239522,240089.780805
2027,239233.253946,244316.028101
2028,242995.579653,247874.994813
2029,248365.647711,253027.986259
2030,251721.940248,256199.771228
2031,257763.266814,262024.577458
2032,263219.011597,267268.737358
2033,268947.431866,272790.403766
2034,275023.774137,278655.821977
2035,278717.558464,282178.765114
