year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,20507.43,237781.78,134029.28,29155.45,221555.43,81861.19
2018,22281.92,258393.85,143817.94,30901.83,234887.65,86787.22
2019,24791.94,287535.05,157657.09,33374.51,253736.64,93751.62
2020,25953.1,301039.51,158849.43,34515.62,262471.53,94426.95
2021,26807.03,310990.16,163424.62,35352.57,268907.77,96742.46
2022,27414.55,318097.77,166692.61,35944.68,273505.09,98396.39
2023,27836.83,323073.1,163426.32,36352.16,276723.21,96863.49
2024,28198.5,327337.67,165322.67,36700.84,279481.6,97829.03
2025,28622.03,332312.99,161841.55,37111.46,282699.72,96206.73
2026,29168.99,338709.84,164589.41,37645.22,286837.3,97614.81
2027,29592.74,343685.17,166726.63,38056.54,290055.42,98709.98
2028,29954.68,347949.74,168558.53,38406.16,292813.81,99648.7
2029,30444.55,353635.83,171001.07,38889.39,296491.66,100900.32
2030,30749.32,357189.63,166458.2,39188.17,298790.32,98777.37
2031,31297.23,363586.48,169109.39,39724.43,302927.9,100145.22
