year,Base case cost,Chignik lake -- unnamed creek 1,Chignik lake (cucumber creek),"Chignik lake (unnamed stream, site #6) -- unnamed creek 2",Chignik lagoon (through creek),Chignik hydroelectric dam project -- packers creek,Chignik (mud bay lake creek),Chignik lagoon (crazy creek),Chignik bay (negro creek),Chignik (indian creek),"Chignik (snowbird creek, 1)"
2020,200677.238106,,,,,207655.597672,,,,,
2021,209937.774451,525182.846652,1238052.77021,546729.203112,887421.224794,207984.524923,1850402.22588,299193.754762,491488.79997,1070582.51382,261203.758927
2022,216471.555926,520311.794802,1216514.29535,541824.893122,871344.735099,206790.599196,1816324.425,296385.238454,482261.775494,1048471.03772,266094.139271
2023,220963.25131,514470.47223,1194787.93603,535898.590297,855892.13871,205514.678703,1783159.25572,293501.264272,473103.283153,1026980.39498,269091.319644
2024,224521.442909,508469.584225,1173533.24574,529780.011829,840343.114668,203748.275033,1750289.75214,290159.078383,463857.514935,1005767.1726,271223.383937
2025,228987.807783,502972.885134,1152834.4505,524209.364812,825165.586936,202194.913838,1718259.07079,287081.295872,455101.880965,985221.331867,274251.527016
2026,234789.239522,498696.3689,1133542.49419,519883.369557,811232.635549,201658.90357,1687902.3068,285064.666685,446628.721701,965038.426346,278562.083262
2027,239233.253946,493530.135555,1113825.46869,514653.709551,796753.098981,200204.091883,1657362.1759,282158.833397,438259.090688,945395.427146,281621.561372
2028,242995.579653,488145.827867,1094347.47427,509191.905718,782849.296356,198883.690058,1627723.45692,279409.489956,430034.392461,926237.241827,284065.160851
2029,248365.647711,483948.735731,1076077.86395,504960.566667,769527.852046,198091.348386,1599125.62354,277242.793411,422350.656077,907682.521159,288061.983669
2030,251721.940248,479073.74869,1058001.47972,499979.590396,756343.819053,196856.39301,1570916.44044,274640.587896,414729.828429,889700.061422,290189.455849
2031,257763.266814,475575.41518,1040880.12733,496475.724886,743893.847105,196466.384852,1543939.26931,272949.648787,407459.150451,871937.94908,294866.456417
2032,263219.011597,471646.323729,1023613.82412,492545.718406,731174.3958,195543.848585,1517040.41203,270758.39105,399782.085532,853996.250423,298981.433622
2033,268947.431866,468141.102752,1007050.49961,489044.091158,719036.313412,194945.797978,1491062.56508,268923.073505,392552.690869,836723.706756,303392.09256
2034,275023.774137,465131.455593,991255.316381,486042.440824,707547.612397,194746.265401,1466065.78162,267516.991405,385212.516991,819466.166574,308133.233223
2035,278717.558464,460763.593492,974796.669753,481629.437769,695335.543876,193350.233231,1440584.45188,264924.405115,378175.053422,803084.607566,310673.38592
2036,285066.576222,458018.240096,959649.041165,478919.726089,684246.472571,193142.155473,1416655.88377,263575.736914,371437.419962,786847.106267,315730.568814
2037,288396.793234,453858.5175,944055.179741,474704.01646,672694.018232,191856.811957,1392431.02489,261145.074085,364988.117986,771551.934,317989.411925
2038,294727.185617,451366.338287,929662.471393,472255.584245,662141.252234,191723.246712,1369649.32721,259927.463448,358546.442996,756008.548901,323069.327212
2039,299713.570955,448541.445075,915607.710178,469420.911091,651877.025656,191427.260928,1347365.67503,258554.71277,352171.734893,740905.261416,326905.004952
2040,307023.658051,446994.785069,902496.166204,467944.873781,642378.245663,191983.330942,1326248.60635,258087.330346,346380.170456,726301.188495,332964.149463
2041,306679.461125,441439.515516,887321.178449,462234.20582,631394.6492,189853.449366,1303558.95983,254873.339684,340004.619848,712291.965229,331827.021416
2042,306335.264199,436006.380354,872493.787006,456649.314398,620660.413414,187765.419733,1281393.03426,251726.609746,333770.42895,698603.015696,330708.477673
2043,306335.264199,431036.714379,858350.043129,451531.448957,610513.891642,186062.458197,1260082.75354,248989.761251,328018.482025,685571.031437,329952.279651
2044,305991.067273,425839.32798,844193.596198,446189.336516,600260.981957,184055.212881,1238927.73541,245972.860691,322057.149378,672500.287268,328869.608087
2045,305991.067273,421099.885223,830705.071053,441308.559737,590584.504834,182431.142218,1218604.6682,243362.798598,316571.665378,660072.018707,328148.441462
2046,305991.067273,416471.522955,817532.682644,436542.175957,581134.819733,180845.135642,1198757.92202,240813.909724,311214.747176,647935.037162,327444.177149
2047,305646.870347,411607.441177,804324.825663,431543.307551,571562.415059,178952.104229,1179032.13779,237980.563604,305639.185023,635738.319658,326412.222131
2048,305646.870347,407193.49101,791762.65731,426997.729815,562550.493193,177439.570511,1160104.80593,235549.75378,300530.429783,624163.592227,325740.583353
2049,305646.870347,402882.992735,779494.91459,422558.688988,553749.788111,175962.48678,1141621.08313,233175.916026,295541.410918,612860.147296,325084.686098
2050,305646.870347,398673.521885,767514.697438,418223.688308,545155.349805,174520.02224,1123570.5731,230857.715161,290669.322324,601821.627177,324444.161453
