year,Base case cost,Chignik lake area wind-hydro final design,Modeled wind power
2019,188002.298056,,316220.446957
2020,200677.238106,,321427.307131
2021,209937.774451,,324301.113879
2022,216471.555926,,325328.50498
2023,220963.25131,,324993.185728
2024,224521.442909,,324003.835183
2025,228987.807783,,323802.273003
2026,234789.239522,,324614.565083
2027,239233.253946,,324542.370442
2028,242995.579653,,324060.675092
2029,248365.647711,,324860.238006
2030,251721.940248,,324312.793445
2031,257763.266814,,325722.61587
2032,263219.011597,,326613.433846
2033,268947.431866,,327841.944165
2034,275023.774137,,329282.884107
2035,278717.558464,,329199.213378
2036,285066.576222,,331035.385502
2037,288396.793234,,330906.817369
2038,294727.185617,,332841.243341
