year,Base case diesel consumed,Adak hydroelectric project -- mount reed creek,Adak hydroelectric project -- mount moffet creek,Adak hydroelectric project -- heart lake,Adak hydroelectric project -- lake betty,Adak hydroelectric project -- lake bonnie rose,Adak hydroelectric project -- lake demarie,"Adak (unnamed stream, site #2) -- unnamed creek, 2","Adak (unnamed stream, site #1) -- unnamed creek, 1",Adak hydroelectric feasibility study  phase ii--option 1
2021,179068.615043,99376.3269553,79453.2549132,137008.796328,132581.446985,50232.7259771,161359.217685,111994.272554,134573.754194,50614.0353684
2022,179223.989113,99531.7010248,79608.6289827,137164.170398,132736.821055,50388.1000465,161514.591754,112149.646623,134729.128263,50769.4094379
2023,179301.676148,99609.3880595,79686.3160174,137241.857432,132814.50809,50465.7870812,161592.278789,112227.333658,134806.815298,50847.0964726
2024,179457.050217,99764.762129,79841.6900868,137397.231502,132969.882159,50621.1611507,161747.652858,112382.707728,134962.189367,51002.4705421
2025,179612.424287,99920.1361984,79997.0641563,137552.605571,133125.256228,50776.5352202,161903.026928,112538.081797,135117.563437,51157.8446115
2026,179767.798356,100075.510268,80152.4382257,137707.979641,133280.630298,50931.9092896,162058.400997,112693.455866,135272.937506,51313.218681
2027,179923.172425,100230.884337,80307.8122952,137863.35371,133436.004367,51087.2833591,162213.775067,112848.829936,135428.311576,51468.5927504
2028,180078.546495,100386.258407,80463.1863646,138018.72778,133591.378437,51242.6574285,162369.149136,113004.204005,135583.685645,51623.9668199
2029,180233.920564,100541.632476,80618.5604341,138174.101849,133746.752506,51398.031498,162524.523206,113159.578075,135739.059714,51779.3408893
2030,180389.294634,100697.006546,80773.9345035,138329.475918,133902.126576,51553.4055674,162679.897275,113314.952144,135894.433784,51934.7149588
2031,180544.668703,100852.380615,80929.308573,138484.849988,134057.500645,51708.7796369,162835.271345,113470.326214,136049.807853,52090.0890282
2032,180700.042773,101007.754685,81084.6826425,138640.224057,134212.874715,51864.1537063,162990.645414,113625.700283,136205.181923,52245.4630977
2033,180855.416842,101163.128754,81240.0567119,138795.598127,134368.248784,52019.5277758,163146.019483,113781.074353,136360.555992,52400.8371671
2034,181010.790912,101318.502823,81395.4307814,138950.972196,134523.622854,52174.9018452,163301.393553,113936.448422,136515.930062,52556.2112366
2035,181166.164981,101473.876893,81550.8048508,139106.346266,134678.996923,52330.2759147,163456.767622,114091.822491,136671.304131,52711.585306
