year,Base case cost,Modeled wind power
2019,748182.079077,976334.122646
2020,800089.448199,1005653.81528
2021,838041.118404,1025002.46383
2022,865651.867416,1037045.93868
2023,885750.28017,1043664.032
2024,902668.962592,1048240.6688
2025,921411.73659,1054359.09002
2026,945578.619353,1064670.84795
2027,966187.435925,1072549.47256
2028,983228.863862,1077981.40122
2029,1007507.61595,1088935.14971
2030,1021003.40763,1092106.4835
2031,1045353.63179,1103464.73388
2032,1071551.25364,1116359.05665
2033,1097792.38023,1129453.8021
2034,1124077.01156,1142745.29258
2035,1141346.83938,1149531.67507
2036,1169523.92688,1164539.40222
2037,1186859.0118,1171679.8992
2038,1214600.27504,1186533.88938
