year,Base case cost,Modeled water and wastewater efficiency
2017,77054.4008799,72266.35147
2018,81907.6474509,75247.3771964
2019,88735.2116352,79610.21612
2020,91913.1164918,81444.1474856
2021,94181.7722972,82654.1014638
2022,95770.7204451,83399.6801151
2023,96901.1720978,83834.5108657
2024,97796.9562075,84114.1033957
2025,98792.8726901,84471.1664105
2026,100124.541801,85069.6782073
2027,101217.42209,85509.4527589
2028,102087.095056,85801.4425638
2029,103383.029353,86396.9341053
2030,104032.565994,86550.2979647
2031,105331.748307,87162.2618615
