year,Base case diesel consumed,Modeled wind power
2019,178990.928009,133980.443291
2020,178990.928009,133980.443291
2021,179068.615043,134058.130325
2022,179223.989113,134213.504395
2023,179301.676148,134291.19143
2024,179457.050217,134446.565499
2025,179612.424287,134601.939568
2026,179767.798356,134757.313638
2027,179923.172425,134912.687707
2028,180078.546495,135068.061777
2029,180233.920564,135223.435846
2030,180389.294634,135378.809916
2031,180544.668703,135534.183985
2032,180700.042773,135689.558055
2033,180855.416842,135844.932124
2034,181010.790912,136000.306194
2035,181166.164981,136155.680263
2036,181321.539051,136311.054332
2037,181476.91312,136466.428402
2038,181554.600155,136544.115437
