year,Base case cost,Adak hydroelectric project -- mount reed creek,Adak hydroelectric project -- mount moffet creek,Adak hydroelectric project -- heart lake,Adak hydroelectric project -- lake betty,Adak hydroelectric project -- lake bonnie rose,Adak hydroelectric project -- lake demarie,"Adak (unnamed stream, site #2) -- unnamed creek, 2","Adak (unnamed stream, site #1) -- unnamed creek, 1",Adak hydroelectric feasibility study  phase ii--option 1
2021,838041.118404,1152464.03721,1218924.12923,1002457.09707,1052493.34012,650427.982785,1049126.21607,1237231.03537,1181061.85821,688264.157592
2022,865651.867416,1153094.11192,1213049.75343,1015858.3584,1063750.19403,648212.820081,1067942.50977,1239466.35055,1190289.29951,685398.387655
2023,885750.28017,1149893.22904,1204259.12288,1023689.52288,1069656.60059,644113.614391,1080130.14706,1237350.32395,1194137.63234,680649.234478
2024,902668.962592,1145514.64866,1194785.79344,1029396.89166,1073565.2094,639755.605357,1089647.00851,1233800.64724,1196000.00462,675649.544688
2025,921411.73659,1142447.32742,1186490.13455,1036657.01291,1079012.5076,636084.314311,1100936.55571,1231703.03352,1199474.32466,671356.454406
2026,945578.619353,1142612.30417,1180873.56661,1048183.79224,1088618.78611,633992.635385,1117224.23336,1233242.96287,1207221.44128,668670.482827
2027,966187.435925,1141198.54133,1174167.95951,1057196.50383,1095834.71871,631248.789815,1130453.35412,1232947.60338,1212586.36657,665339.494362
2028,983228.863862,1138189.49967,1166355.09009,1063682.03151,1100646.46584,627838.678946,1140611.59357,1230800.22619,1215554.09047,661349.035345
2029,1007507.61595,1139368.6116,1161963.18811,1075794.98266,1110929.35991,626456.006907,1157386.4589,1233377.99869,1224124.1582,659416.455171
2030,1021003.40763,1135065.76458,1153409.79874,1079922.12239,1113533.75696,622586.508113,1164611.92586,1229687.42723,1224936.88317,654987.163096
2031,1045353.63179,1136883.16506,1149788.44381,1092404.50931,1124242.90489,621650.438623,1181694.0437,1232918.38199,1234025.13486,653529.068472
2032,1071551.25364,1139985.74186,1147307.15241,1106436.99206,1136483.13481,621391.706647,1200551.60893,1237574.01918,1244709.71666,652765.763329
2033,1097792.38023,1143398.89757,1145198.75786,1120653.37492,1148934.03654,621353.23444,1219563.77459,1242547.25294,1255648.28617,652235.855944
2034,1124077.01156,1147116.37282,1143455.54023,1135050.36747,1161591.69221,621530.879415,1238727.93694,1247831.65942,1266835.9103,651934.895817
2035,1141346.83938,1146252.27362,1138234.81098,1142771.7818,1167831.44156,619617.574591,1249911.8065,1247879.58386,1271542.47418,649535.521957
2036,1169523.92688,1151529.93375,1137960.32101,1158884.80866,1182209.16807,620669.801126,1270992.12778,1254869.72351,1284552.71213,650137.907127
