year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,23172.95,446295.95,261154.31,53881.45,928525.29,303667.57
2018,25826.22,497441.14,289641.68,56081.43,966527.5,316095.92
2019,29560.99,569509.35,329782.98,59174.23,1020076.06,333608.59
2020,31302.47,603218.68,348558.75,60610.65,1045122.97,341800.01
2021,32552.32,627628.88,353182.3,61629.45,1063260.39,340172.33
2022,33434.04,645064.74,362653.29,62336.68,1076215.68,344317.16
2023,34068.4,657851.04,369598.68,62832.77,1085716.23,347356.71
2024,34577.08,668312.55,375281.28,63219.88,1093489.41,349843.6
2025,35142.05,679936.46,371900.73,63650.82,1102126.28,344771.12
2026,35888.81,695047.53,379900.39,64235.73,1113354.2,348283.48
2027,36508.34,707833.83,386669.33,64709.09,1122854.75,351255.47
2028,37006.17,718295.35,381983.67,65080.93,1130627.93,345648.76
2029,37738.71,733406.42,389774.8,65644.32,1141855.86,349081.3
2030,38115.61,741543.16,393970.02,65916.95,1147901.66,350929.59
2031,38848.26,756654.23,391007.91,66483.49,1159129.59,346121.14
2032,,,399173.78,,,349731.75
2033,,,407339.66,,,353342.35
2034,,,404078.57,,,348454.08
2035,,,409183.69,,,350719.92
2036,,,417692.23,,,354496.32
