year,Base case diesel consumed,Modeled solar power (pv)
2016,178990.928009,176801.354054
2017,178913.240974,176741.183611
2018,178913.240974,176758.56007
2019,178990.928009,176853.484552
2020,178990.928009,176870.584099
2021,179068.615043,176965.233885
2022,179223.989113,177137.435004
2023,179301.676148,177231.814472
2024,179457.050217,177403.747434
2025,179612.424287,177575.547926
2026,179767.798356,177747.217006
2027,179923.172425,177918.755727
2028,180078.546495,178090.16513
2029,180233.920564,178261.44625
2030,180389.294634,178432.600114
2031,180544.668703,178603.62774
2032,180700.042773,178774.530137
2033,180855.416842,178945.308307
2034,181010.790912,179115.963245
2035,181166.164981,179286.495936
