year,Base case cost,"Quinhagak, alaska heat recovery study"
2019,509604.433708,490217.103988
2020,526278.088827,503433.927156
2021,537741.226721,512178.002597
2022,546078.05428,518248.886354
2023,552330.67495,522546.046282
2024,557541.192174,525968.965123
2025,562751.709399,529417.140178
2026,570046.433513,534690.186394
2027,576299.054183,539087.215363
2028,581509.571407,542607.662564
2029,587762.192077,547051.183606
2030,591930.605856,549716.929783
2031,599225.329971,555104.892561
2032,,
2033,,
2034,,
2035,,
2036,,
2037,,
2038,,
