year,Base case cost,Modeled non-residential energy efficiency
2017,1000887.1947,1002450.67882
2018,1043978.06887,1037706.53086
2019,1102581.65775,1086960.12011
2020,1130159.81722,1108455.78328
2021,1149119.80186,1122295.37178
2022,1162908.8816,1131569.97534
2023,1173250.6914,1137824.28873
2024,1181868.86623,1142603.04755
2025,1190487.04107,1147451.02727
2026,1202552.48584,1155459.47905
2027,1212894.29564,1161987.50827
2028,1221512.47048,1167033.56772
2029,1231854.28028,1173689.01995
2030,1238748.82015,1177313.07917
2031,1250814.26492,1185636.48825
