year,annotation,Average Load
2003,,181.0
2004,,184.0
2005,,183.0
2006,,199.0
2007,,203.0
2008,,214.0
2009,,211.0
2010,,189.0
2011,,198.0
2012,,208.0
2013,,220.0
2014,,229.0
2015,,239.0
2016,start of forecast,229.0
2017,,231.0
2018,,233.0
2019,,236.0
2020,,240.0
2021,,242.0
2022,,244.0
2023,,246.0
2024,,248.0
2025,,250.0
2026,,252.0
2027,,256.0
2028,,258.0
2029,,260.0
2030,,262.0
2031,,265.0
2032,,268.0
2033,,270.0
2034,,272.0
2035,,276.0
2036,,278.0
2037,,281.0
2038,,283.0
2039,,286.0
2040,,288.0
