year,Base case cost,Modeled water and wastewater efficiency
2017,134326.763633,132487.307886
2018,140398.634933,135774.095577
2019,148668.018159,140594.516175
2020,152819.141646,142609.060746
2021,155649.150125,143730.618553
2022,157750.689636,144370.248241
2023,159373.357872,144699.524818
2024,160764.921294,144888.690923
2025,162171.752909,145106.977678
2026,164074.021737,145684.197488
2027,165923.31609,146248.396952
2028,167370.798691,146547.776945
2029,169061.567767,147031.036304
2030,170249.024249,147183.491149
2031,172188.43907,147869.793397
