year,Base case diesel consumed,"Quinhagak, alaska heat recovery study"
2019,104210.344492,90010.3444918
2020,104210.344492,90010.3444918
2021,104210.344492,90010.3444918
2022,104210.344492,90010.3444918
2023,104210.344492,90010.3444918
2024,104210.344492,90010.3444918
2025,104210.344492,90010.3444918
2026,104210.344492,90010.3444918
2027,104210.344492,90010.3444918
2028,104210.344492,90010.3444918
2029,104210.344492,90010.3444918
2030,104210.344492,90010.3444918
2031,104210.344492,90010.3444918
2032,104210.344492,90010.3444918
2033,104210.344492,90010.3444918
2034,104210.344492,90010.3444918
2035,104210.344492,90010.3444918
2036,104210.344492,90010.3444918
2037,104210.344492,90010.3444918
2038,104210.344492,90010.3444918
