year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,128238.66,14757.87,104210.34,68612.75
2018,128603.77,14769.9,104210.34,69711.15
2019,130496.03,14785.58,104210.34,71358.75
2020,133442.41,14807.14,104210.34,73555.55
2021,134723.9,14820.09,104210.34,74653.96
2022,136134.64,14831.66,104210.34,75752.36
2023,137535.9,14842.72,104210.34,76850.76
2024,138850.06,14853.94,104210.34,77949.16
2025,140300.96,14865.84,104210.34,79047.56
2026,141815.6,14878.63,104210.34,80695.16
2027,144450.42,14901.03,104210.34,82891.97
2028,146115.83,14914.5,104210.34,83990.37
2029,147701.71,14928.01,104210.34,85637.97
2030,149135.14,14940.05,104210.34,86736.37
2031,150797.4,14953.66,104210.34,88383.97
2032,152911.7,,,90031.57
2033,154572.85,,,91679.17
2034,156234.39,,,92777.58
2035,158650.85,,,94974.38
2036,160312.18,,,96072.78
