year,Base case diesel consumed,Modeled residential ashp
2017,79465.7045033,10852.955081
2018,80737.8474466,12125.0980243
2019,82646.0618616,14033.3124393
2020,85190.3477483,16577.5983259
2021,86462.4906916,17849.7412693
2022,87734.6336349,19121.8842126
2023,89006.7765783,20394.0271559
2024,90278.9195216,21666.1700992
2025,91551.0624649,22938.3130426
2026,93459.2768799,24846.5274576
2027,96003.5627666,27390.8133442
2028,97275.7057099,28662.9562876
2029,99183.9201249,30571.1707025
2030,100456.063068,31843.3136459
2031,102364.277483,33751.5280609
