year,Base case diesel consumed,Modeled residential energy efficiency
2017,58488.2817398,40945.4906359
2018,58488.2817398,40945.4906359
2019,57087.8527917,39545.0616877
2020,57087.8527917,39545.0616877
2021,57087.8527917,39545.0616877
2022,55687.4238435,38144.6327396
2023,55687.4238435,38144.6327396
2024,54286.9948954,36744.2037914
2025,54286.9948954,36744.2037914
2026,52886.5659472,35343.7748433
2027,52886.5659472,35343.7748433
2028,51486.1369991,33943.3458952
2029,51486.1369991,33943.3458952
2030,50085.7080509,32542.916947
2031,48685.2791028,31142.4879989
2032,48685.2791028,31142.4879989
2033,48685.2791028,31142.4879989
2034,47284.8501546,29742.0590507
2035,47284.8501546,29742.0590507
2036,45884.4212065,28341.6301026
