year,Base case cost,Modeled solar power (pv)
2016,143109.386354,148303.540978
2017,165455.220696,170325.893042
2018,181957.045108,186596.051978
2019,203637.262609,207970.461409
2020,213745.987337,217948.692594
2021,220167.336012,224295.565964
2022,225524.050854,229594.430023
2023,228781.512582,232825.390934
2024,230595.627446,234628.62767
2025,233823.957403,237831.598533
2026,238072.782144,242040.93455
2027,241274.628672,245218.770031
2028,243434.793672,247370.039498
2029,247552.084051,251457.199303
2030,249696.358993,253593.46915
2031,253370.493333,257238.695765
2032,257542.516131,261375.468051
2033,261187.518699,264992.979299
2034,265328.644164,269100.364088
2035,267925.785737,271685.113185
