year,Base case cost,Modeled biomass for heat (cordwood)
2017,2068219.44504,2046704.02697
2018,2191387.65564,2147646.11096
2019,2343663.22311,2271303.88359
2020,2419683.0837,2332843.34113
2021,2468750.54841,2371905.39226
2022,2519059.75564,2413865.20377
2023,2546201.79444,2434715.34432
2024,2565922.12914,2449395.12345
2025,2593023.37914,2470290.81761
2026,2622577.73444,2493278.72336
2027,2649678.87444,2514256.65006
2028,2671830.84504,2531130.24332
2029,2698909.85564,2552164.56859
2030,2716166.78034,2565024.90981
2031,2748183.85564,2590267.08351
2032,2765549.02841,2601296.04171
2033,2797413.659,2626457.19149
2034,2829289.3043,2651663.81588
2035,2851353.3296,2668702.68528
2036,2870545.17177,2681292.02232
