year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,156806.455087,116036.776764
2018,156806.455087,116036.776764
2019,156806.455087,116036.776764
2020,156806.455087,116036.776764
2021,156806.455087,116036.776764
2022,156806.455087,116036.776764
2023,156806.455087,116036.776764
2024,156806.455087,116036.776764
2025,156806.455087,116036.776764
2026,156806.455087,116036.776764
2027,156806.455087,116036.776764
2028,156806.455087,116036.776764
2029,156806.455087,116036.776764
2030,156806.455087,116036.776764
2031,156806.455087,116036.776764
