year,Base case cost,Modeled solar power
2020,961659.926579,965300.789109
2021,989161.109108,992336.522684
2022,1012365.52348,1015138.40944
2023,1031052.08639,1033496.98598
2024,1042456.53887,1044620.27658
2025,1057946.72546,1059797.76115
2026,1073675.94042,1075209.05151
2027,1088031.28063,1089266.73327
2028,1098494.69352,1099464.85986
2029,1111624.02637,1112310.6418
2030,1121685.46963,1122144.94201
2031,1138066.44962,1138231.1411
2032,1152446.91293,1152336.02788
2033,1168123.01048,1167731.16405
2034,1183743.1194,1183077.05482
2035,1195849.58312,1194963.43597
2036,1211394.32273,1210246.64686
2037,1222791.59719,1221447.19645
2038,1240260.04858,1238666.19091
2039,1252357.89866,1250555.1856
