year,Base case diesel consumed,Modeled solar power
2020,134875.165018,133534.706243
2021,134946.945308,133617.210203
2022,135162.286178,133843.188954
2023,135664.748209,134356.203763
2024,135736.528499,134438.452408
2025,135808.308789,134520.617307
2026,135736.528499,134459.138549
2027,135664.748209,134397.577378
2028,135449.407338,134192.373875
2029,135234.066468,133987.089272
2030,135305.846758,134068.84538
2031,135162.286178,133935.180811
2032,134946.945308,133729.656784
2033,134731.604438,133524.054222
2034,134516.263568,133318.373753
2035,134516.263568,133327.956872
2036,134300.922698,133122.122455
2037,134372.702988,133203.333147
2038,134372.702988,133212.688106
2039,134229.142408,133078.407645
