year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,10627.8397839,6908.09585954
2018,10625.7831419,6906.75904222
2019,10624.507015,6905.92955974
2020,10623.4158418,6905.22029714
2021,10623.9881839,6905.59231956
2022,10625.8386547,6906.79512553
2023,10630.0909876,6909.55914193
2024,10630.5353568,6909.8479819
2025,10631.1897671,6910.27334864
2026,10630.2012125,6909.63078812
2027,10629.6120563,6909.24783662
2028,10628.0331446,6908.22154396
2029,10626.2931656,6907.09055765
2030,10626.7686273,6907.39960775
2031,10625.9265944,6906.85228636
