year,Base case diesel consumed,Modeled residential energy efficiency
2017,187963.99688,145650.66115
2018,190765.116583,148451.780853
2019,192165.676434,149852.340705
2020,194966.796137,152653.460408
2021,197767.915841,155454.580111
2022,199168.475692,156855.139963
2023,201969.595395,159656.259666
2024,203370.155247,161056.819517
2025,206171.27495,163857.93922
2026,207571.834801,165258.499072
2027,210372.954505,168059.618775
2028,211773.514356,169460.178627
2029,214574.634059,172261.29833
2030,215975.193911,173661.858181
2031,217375.753762,175062.418033
