year,Base case cost,Modeled solar power (pv)
2016,1012069.86731,1077421.24248
2017,1213178.64274,1274201.50096
2018,1366755.23721,1424234.89841
2019,1577088.19244,1630328.44227
2020,1678196.41138,1728799.0928
2021,1755181.14678,1803544.55669
2022,1816822.48918,1863199.56442
2023,1863312.85288,1907950.62625
2024,1899563.55759,1942636.3232
2025,1946809.67777,1988222.03485
2026,1999714.09479,2039438.85659
2027,2042814.16271,2081020.89831
2028,2085986.66034,2122711.32526
2029,2138424.30811,2173573.46168
2030,2170125.84166,2203991.06079
2031,2224172.30696,2256532.06005
2032,2285916.80683,2316743.22237
2033,2343093.84521,2372484.33879
2034,2406267.18575,2434193.3942
2035,2447641.37802,2474382.0722
