year,Base case cost,Modeled non-residential energy efficiency
2017,1201448.40766,1329692.38718
2018,1277220.95954,1399022.87108
2019,1381734.82419,1497245.65347
2020,1428766.06329,1538133.25761
2021,1462733.0693,1566100.62
2022,1488861.53546,1586370.0592
2023,1507151.46178,1598938.27976
2024,1520215.69486,1606414.90927
2025,1538505.62117,1619248.19149
2026,1559408.39411,1634822.21065
2027,1575085.4738,1645295.42916
2028,1590762.5535,1655890.6129
2029,1611665.32643,1671830.59717
2030,1622116.7129,1677435.51006
2031,1643019.48583,1693605.39887
