year,Base case cost,Wainwright wind turbine design,Modeled wind power
2019,1577088.19244,1784199.66244,1800071.43813
2020,1678196.41138,1859969.80756,1866231.4996
2021,1755181.14678,1915949.82252,1914769.94134
2022,1816822.48918,1959280.32097,1951977.35622
2023,1863312.85288,1990148.0124,1978039.39723
2024,1899563.55759,2012641.8265,1996619.4926
2025,1946809.67777,2044724.12752,2023981.1213
2026,1999714.09479,2081869.30118,2056022.15451
2027,2042814.16271,2111059.96455,2080997.65655
2028,2085986.66034,2140534.19386,2106295.82627
2029,2138424.30811,2177846.12721,2138620.94666
2030,2170125.84166,2197890.57139,2155413.74594
2031,2224172.30696,2237209.31424,2189819.38265
2032,2285916.80683,2283601.30187,2230909.35759
2033,2343093.84521,2326430.17228,2268895.41409
2034,2406267.18575,2374621.6596,2311853.53357
2035,2447641.37802,2404460.10793,2338189.61227
2036,2511175.40389,2453365.76839,2381927.36967
2037,2551960.6475,2482960.47112,2408083.63324
2038,2616458.20801,2533166.77861,2453184.46978
