year,Base case diesel consumed,Wainwright wind turbine design,Modeled wind power
2019,503862.042313,407954.954849,358115.634533
2020,507007.97927,411100.891806,361261.57149
2021,510227.077551,414319.990087,364480.669771
2022,513226.691858,417319.604394,367480.284078
2023,516153.144841,420246.057377,370406.737061
2024,519006.436499,423099.349035,373260.028719
2025,521932.889482,426025.802018,376186.481702
2026,524859.342465,428952.255001,379112.934685
2027,527858.956772,431951.869308,382112.548992
2028,530785.409755,434878.322291,385039.001975
2029,533272.89479,437365.807327,387526.487011
2030,535833.54115,439926.453686,390087.133371
2031,538540.510159,442633.422696,392794.10238
2032,541686.447116,445779.359652,395940.039336
2033,544905.545397,448998.457933,399159.137617
2034,548124.643678,452217.556214,402378.235898
2035,551270.580635,455363.493171,405524.172855
2036,554343.356267,458436.268803,408596.948487
2037,557196.647925,461289.560461,411450.240145
2038,560269.423557,464362.336093,414523.015777
