year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,71792.04,8933.58,76571.71,79685.14
2018,72225.56,8937.8,76571.71,80927.7
2019,72659.09,8942.12,76571.71,82170.26
2020,73092.62,8946.42,76571.71,83412.81
2021,73526.14,8950.63,76571.71,84655.37
2022,73959.67,8954.82,76571.71,85897.92
2023,74393.2,8958.97,76571.71,87140.48
2024,74826.72,8963.16,76571.71,89625.59
2025,75260.25,8967.33,76571.71,90868.15
2026,75693.78,8971.52,76571.71,92110.7
2027,76127.31,8975.6,76571.71,93353.26
2028,76560.83,8979.62,76571.71,94595.81
2029,76994.36,8984.25,76571.71,95838.37
2030,77427.89,8988.7,76571.71,97080.93
2031,77861.41,8992.93,76571.71,98323.48
2032,78294.94,,,99566.04
2033,78641.76,,,100808.59
2034,78988.58,,,102051.15
2035,79335.4,,,103293.7
2036,79682.22,,,104536.26
