year,Base case diesel consumed,Modeled non-residential ashp
2017,85982.6400011,63011.1261699
2018,87323.3946677,64351.8808365
2019,88664.1493344,65692.6355032
2020,90004.9040011,67033.3901698
2021,91345.6586677,68374.1448365
2022,92686.4133344,69714.8995032
2023,94027.1680011,71055.6541698
2024,96708.6773344,73737.1635032
2025,98049.432001,75077.9181698
2026,99390.1866677,76418.6728365
2027,100730.941334,77759.4275032
2028,102071.696001,79100.1821698
2029,103412.450668,80440.9368365
2030,104753.205334,81781.6915032
2031,106093.960001,83122.4461698
