year,Base case diesel consumed,Modeled transmission and interties
2021,147052.288673,73526.1443364
2022,147919.342262,73959.6711308
2023,148786.39585,74393.1979252
2024,149653.449439,74826.7247197
2025,150520.503028,75260.2515141
2026,151387.556617,75693.7783086
2027,152254.610206,76127.305103
2028,153121.663795,76560.8318974
2029,153988.717384,76994.3586919
2030,154855.770973,77427.8854863
2031,155722.824561,77861.4122807
2032,156589.87815,78294.9390752
2033,157283.521021,78641.7605107
2034,157977.163893,78988.5819463
2035,158670.806764,79335.4033818
2036,159364.449635,79682.2248174
2037,160231.503224,80115.7516118
2038,161098.556812,80549.2784062
2039,161792.199684,80896.0998418
2040,162485.842555,81242.9212773
