year,Base case diesel consumed,Elfin cove (joe's creek),Elfin cove hydroelectric permitting -- crooked creek,Ernie's creek (elfin cove),"Crooked creek and jim's lake (elfin cove) -- crooked creek, jim's lake",Crooked creek (elfin cove),Roy's creek (elfin cove),Wood (wood lake),"Elfin cove (margaret creek; 58.07', 136.20')"
2020,23299.3344478,,7629.33940745,,,,,,
2021,23131.7133367,12127.9992077,7461.71829631,0.0,0.0,11598.4086881,10421.5408668,0.0,0.0
2022,22880.28167,11876.567541,7210.28662961,-251.431666703,-251.431666703,11346.9770214,10170.1092001,-251.431666703,-251.431666703
2023,22712.6605588,11708.9464298,7042.66551847,-419.052777838,-419.052777838,11179.3559103,10002.488089,-419.052777838,-419.052777838
2024,22545.0394477,11541.3253187,6875.04440734,-586.673888973,-586.673888973,11011.7347991,9834.86697786,-586.673888973,-586.673888973
2025,22293.607781,11289.893652,6623.61274063,-838.105555676,-838.105555676,10760.3031324,9583.43531115,-838.105555676,-838.105555676
2026,22125.9866698,11122.2725409,6455.9916295,-1005.72666681,-1005.72666681,10592.6820213,9415.81420002,-1005.72666681,-1005.72666681
2027,21958.3655587,10954.6514297,6288.37051836,-1173.34777795,-1173.34777795,10425.0609102,9248.19308888,-1173.34777795,-1173.34777795
2028,21790.7444476,10787.0303186,6120.74940723,-1340.96888908,-1340.96888908,10257.439799,9080.57197775,-1340.96888908,-1340.96888908
2029,21539.3127809,10535.5986519,5869.31774053,-1592.40055578,-1592.40055578,10006.0081323,8829.14031105,-1592.40055578,-1592.40055578
2030,21287.8811142,10284.1669852,5617.88607382,-1843.83222249,-1843.83222249,9754.57646562,8577.70864434,-1843.83222249,-1843.83222249
2031,21120.260003,10116.5458741,5450.26496269,-2011.45333362,-2011.45333362,9586.95535449,8410.08753321,-2011.45333362,-2011.45333362
2032,21036.4494475,10032.7353185,5366.45440712,-2095.26388919,-2095.26388919,9503.14479892,8326.27697764,-2095.26388919,-2095.26388919
2033,20868.8283363,9865.11420736,5198.83329599,-2262.88500032,-2262.88500032,9335.52368778,8158.6558665,-2262.88500032,-2262.88500032
2034,20785.0177808,9781.30365179,5115.02274042,-2346.69555589,-2346.69555589,9251.71313222,8074.84531094,-2346.69555589,-2346.69555589
2035,20701.2072252,9697.49309623,5031.21218485,-2430.50611146,-2430.50611146,9167.90257665,7991.03475537,-2430.50611146,-2430.50611146
2036,20533.5861141,9529.87198509,4863.59107372,-2598.1272226,-2598.1272226,9000.28146551,7823.41364423,-2598.1272226,-2598.1272226
2037,20449.7755585,9446.06142952,4779.78051815,-2681.93777816,-2681.93777816,8916.47090995,7739.60308867,-2681.93777816,-2681.93777816
2038,20365.9650029,9362.25087396,4695.96996258,-2765.74833373,-2765.74833373,8832.66035438,7655.7925331,-2765.74833373,-2765.74833373
2039,20365.9650029,9362.25087396,4695.96996258,-2765.74833373,-2765.74833373,8832.66035438,7655.7925331,-2765.74833373,-2765.74833373
2040,20282.1544474,9278.44031839,4612.15940701,-2849.5588893,-2849.5588893,8748.84979881,7571.98197753,-2849.5588893,-2849.5588893
2041,20282.1544474,9278.44031839,4612.15940701,-2849.5588893,-2849.5588893,8748.84979881,7571.98197753,-2849.5588893,-2849.5588893
2042,20282.1544474,9278.44031839,4612.15940701,-2849.5588893,-2849.5588893,8748.84979881,7571.98197753,-2849.5588893,-2849.5588893
2043,20198.3438918,9194.62976282,4528.34885144,-2933.36944487,-2933.36944487,8665.03924324,7488.17142196,-2933.36944487,-2933.36944487
2044,20198.3438918,9194.62976282,4528.34885144,-2933.36944487,-2933.36944487,8665.03924324,7488.17142196,-2933.36944487,-2933.36944487
2045,20282.1544474,9278.44031839,4612.15940701,-2849.5588893,-2849.5588893,8748.84979881,7571.98197753,-2849.5588893,-2849.5588893
2046,20282.1544474,9278.44031839,4612.15940701,-2849.5588893,-2849.5588893,8748.84979881,7571.98197753,-2849.5588893,-2849.5588893
2047,20365.9650029,9362.25087396,4695.96996258,-2765.74833373,-2765.74833373,8832.66035438,7655.7925331,-2765.74833373,-2765.74833373
2048,20365.9650029,9362.25087396,4695.96996258,-2765.74833373,-2765.74833373,8832.66035438,7655.7925331,-2765.74833373,-2765.74833373
2049,20449.7755585,9446.06142952,4779.78051815,-2681.93777816,-2681.93777816,8916.47090995,7739.60308867,-2681.93777816,-2681.93777816
2050,20533.5861141,9529.87198509,4863.59107372,-2598.1272226,-2598.1272226,9000.28146551,7823.41364423,-2598.1272226,-2598.1272226
