year,Base case diesel consumed,Modeled solar power (pv)
2016,65600.6135796,64514.7324641
2017,66012.1607162,64934.9666497
2018,66506.0172802,65437.4407662
2019,66917.5644168,65857.5365149
2020,67329.1115534,66277.5638748
2021,67740.6586901,66697.5233929
2022,68152.2058267,67117.4156119
2023,68563.7529633,67537.2410702
2024,68975.3001,67957.000302
2025,69469.1566639,68459.0032643
2026,69880.7038006,68878.6316282
2027,70292.2509372,69298.1953422
2028,70621.4886465,69635.3854963
2029,71115.3452105,70137.1308854
2030,71609.2017744,70638.813164
2031,72020.7489111,71058.1234095
2032,72349.9866204,71395.0621228
2033,72679.2243297,71731.9392281
2034,73090.7714663,72151.0646456
2035,73420.0091756,72487.8200094
