year,Base case diesel consumed,Modeled transmission and interties
2021,67740.6586901,0.0
2022,68152.2058267,0.0
2023,68563.7529633,0.0
2024,68975.3001,0.0
2025,69469.1566639,0.0
2026,69880.7038006,0.0
2027,70292.2509372,0.0
2028,70621.4886465,0.0
2029,71115.3452105,0.0
2030,71609.2017744,0.0
2031,72020.7489111,0.0
2032,72349.9866204,0.0
2033,72679.2243297,0.0
2034,73090.7714663,0.0
2035,73420.0091756,0.0
2036,73831.5563123,0.0
2037,74160.7940216,0.0
2038,74572.3411582,0.0
2039,74983.8882948,0.0
2040,75313.1260042,0.0
