year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,76572.0,56674.6587897
2018,76572.0,56674.6587897
2019,76572.0,56674.6587897
2020,76572.0,56674.6587897
2021,76572.0,56674.6587897
2022,76572.0,56674.6587897
2023,76572.0,56674.6587897
2024,76572.0,56674.6587897
2025,76572.0,56674.6587897
2026,76572.0,56674.6587897
2027,76572.0,56674.6587897
2028,76572.0,56674.6587897
2029,76572.0,56674.6587897
2030,76572.0,56674.6587897
2031,76572.0,56674.6587897
2032,,
2033,,
2034,,
2035,,
2036,,
