year,Base case cost,Modeled biomass for heat (cordwood)
2017,382060.675176,383524.104364
2018,404266.555176,398859.554315
2019,435661.075176,421021.749284
2020,450975.475176,431307.447512
2021,460929.835176,437650.511038
2022,468587.035176,442317.349846
2023,473947.075176,445307.401089
2024,478541.395176,447753.608282
2025,483135.715176,450222.181231
2026,490027.195176,454412.8355
2027,495387.235176,457491.326247
2028,499215.835176,459457.153556
2029,505341.595176,463143.56216
2030,509170.195176,465149.59579
2031,515295.955176,468875.26838
2032,,
2033,,
2034,,
2035,,
2036,,
