year,Base case cost,Modeled solar power (pv)
2016,139073.300789,146275.381384
2017,167010.766612,173587.071445
2018,187546.96873,193637.436161
2019,216143.733066,221630.621029
2020,230938.852628,236054.314598
2021,241156.744937,245981.406351
2022,249437.073326,254008.272052
2023,255742.798553,260097.00081
2024,261416.387379,265568.836324
2025,267456.253156,271411.736505
2026,275329.972974,279063.111139
2027,281871.926258,285407.661129
2028,286723.243905,290085.933953
2029,294417.529171,297582.048676
2030,300042.555435,303042.61215
2031,307528.59785,310339.345653
2032,315445.941665,318062.236064
2033,323422.548267,325848.853338
2034,331832.102457,334072.789008
2035,336997.842116,339094.477268
