year,Base case diesel consumed,Modeled wind power
2019,74812.6224878,55299.3835908
2020,75209.717087,55696.47819
2021,75686.230606,56172.991709
2022,76083.3252052,56570.0863082
2023,76559.8387243,57046.5998273
2024,77036.3522433,57523.1133463
2025,77512.8657623,57999.6268653
2026,77989.3792814,58476.1403844
2027,78545.3117202,59032.0728232
2028,79021.8252393,59508.5863423
2029,79498.3387583,59985.0998613
2030,80054.2711972,60541.0323002
2031,80610.203636,61096.964739
2032,81166.1360749,61652.8971779
2033,81642.6495939,62129.4106969
2034,82198.5820328,62685.3431358
2035,82833.9333915,63320.6944945
2036,83389.8658304,63876.6269334
2037,84025.2171891,64511.9782921
2038,84581.1496279,65067.9107309
