year,Base case cost,Modeled wind power
2019,244637.275535,405172.620408
2020,260225.621121,413282.069621
2021,272470.430182,418976.591591
2022,281508.303259,422225.009788
2023,288630.59199,424150.95461
2024,295049.229092,425633.297004
2025,302300.176473,427874.990392
2026,310397.72954,430888.163715
2027,318108.512467,433768.115499
2028,324779.701733,435859.956114
2029,333098.039397,439352.224907
2030,339430.109876,441436.511019
2031,348236.079708,445578.686601
2032,357942.66009,450534.373845
2033,366575.496677,454658.173338
2034,377291.491531,460609.010065
2035,384349.450937,463801.705385
2036,395267.964036,470099.18917
2037,402480.790336,473587.502204
2038,412756.010184,479544.539745
