year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2003,,12702.91,701603.0,701603.0
2004,,12702.91,643835.0,643835.0
2005,,12702.91,599933.0,599933.0
2006,,12702.91,683476.0,683476.0
2007,,12702.91,753420.0,753420.0
2008,,12702.91,875797.0,875797.0
2009,,12702.91,879223.0,879223.0
2010,,12702.91,854761.0,854761.0
2011,,12702.91,854473.0,854473.0
2012,,12702.91,903745.0,903745.0
2013,,12702.91,932689.0,932689.0
2014,,12702.91,909070.0,909070.0
2015,,12702.91,885866.0,885866.0
2016,start of forecast,12702.91,925000.0,925000.0
2017,,12702.91,931000.0,931000.0
2018,,12702.91,936000.0,936000.0
2019,,12702.91,942000.0,942000.0
2020,,12702.91,947000.0,947000.0
2021,,12702.91,953000.0,953000.0
2022,,12702.91,958000.0,958000.0
2023,,12702.91,964000.0,964000.0
2024,,12702.91,970000.0,970000.0
2025,,12702.91,976000.0,976000.0
2026,,12702.91,982000.0,982000.0
2027,,12702.91,989000.0,989000.0
2028,,12702.91,995000.0,995000.0
2029,,12702.91,1001000.0,1001000.0
2030,,12702.91,1008000.0,1008000.0
2031,,12702.91,1015000.0,1015000.0
2032,,12702.91,1022000.0,1022000.0
2033,,12702.91,1028000.0,1028000.0
2034,,12702.91,1035000.0,1035000.0
2035,,12702.91,1043000.0,1043000.0
2036,,12702.91,1050000.0,1050000.0
2037,,12702.91,1058000.0,1058000.0
2038,,12702.91,1065000.0,1065000.0
2039,,12702.91,1073000.0,1073000.0
2040,,12702.91,1081000.0,1081000.0
