year,Base case cost,Modeled solar power (pv)
2016,157209.75182,165828.872737
2017,188544.486642,196475.959243
2018,212601.271651,219972.219973
2019,244637.275535,251345.352089
2020,260225.621121,266530.521341
2021,272470.430182,278436.238821
2022,281508.303259,287186.550896
2023,288630.59199,294060.633496
2024,295049.229092,300247.734925
2025,302300.176473,307261.844553
2026,310397.72954,315117.395676
2027,318108.512467,322602.39034
2028,324779.701733,329063.630252
2029,333098.039397,337156.135043
2030,339430.109876,343298.719396
2031,348236.079708,351888.981793
2032,357942.66009,361374.675455
2033,366575.496677,369801.825589
2034,377291.491531,380296.86433
2035,384349.450937,387188.695218
