year,Base case cost,Modeled water and wastewater efficiency
2017,86008.8100716,61525.0857066
2018,92948.6739242,66148.6332985
2019,101898.548586,72136.2214582
2020,107037.78655,75524.7962624
2021,111369.372774,78361.7356884
2022,115053.035632,80756.4771599
2023,118255.026253,82822.6855829
2024,121340.460659,84808.8744272
2025,124692.436891,86975.2244469
2026,128314.96686,89324.2993545
2027,131809.514863,91585.8237426
2028,135173.697379,93758.2318371
2029,139069.542515,96288.635295
2030,142408.055151,98441.1562963
2031,146481.097206,101089.035926
