year,Base case cost,Modeled diesel efficiency
2019,244637.275535,431770.254592
2020,260225.621121,441034.30446
2021,272470.430182,447373.787544
2022,281508.303259,450910.190565
2023,288630.59199,452814.837154
2024,295049.229092,454186.913585
2025,302300.176473,456420.238426
2026,310397.72954,459525.35587
2027,318108.512467,462378.620991
2028,324779.701733,464384.219794
2029,333098.039397,467982.361851
2030,339430.109876,469867.712329
2031,348236.079708,474092.790563
2032,357942.66009,479225.207616
2033,366575.496677,483468.019236
2034,377291.491531,489689.108511
2035,384349.450937,492667.227971
2036,395267.964036,499235.524676
2037,402480.790336,502513.709532
2038,412756.010184,508652.738449
