year,Base case diesel consumed,Modeled diesel efficiency
2019,74812.6224878,68011.4749889
2020,75209.717087,68372.4700791
2021,75686.230606,68805.6641873
2022,76083.3252052,69166.6592775
2023,76559.8387243,69599.8533857
2024,77036.3522433,70033.0474939
2025,77512.8657623,70466.2416021
2026,77989.3792814,70899.4357103
2027,78545.3117202,71404.8288366
2028,79021.8252393,71838.0229448
2029,79498.3387583,72271.217053
2030,80054.2711972,72776.6101792
2031,80610.203636,73282.0033055
2032,81166.1360749,73787.3964317
2033,81642.6495939,74220.5905399
2034,82198.5820328,74725.9836662
2035,82833.9333915,75303.5758105
2036,83389.8658304,75808.9689367
2037,84025.2171891,76386.561081
2038,84581.1496279,76891.9542072
