year,Base case diesel consumed,Modeled solar power (pv)
2016,73462.5008506,72302.3216633
2017,73939.0143696,72788.1166159
2018,74336.1089688,73194.4183971
2019,74812.6224878,73680.0654407
2020,75209.717087,74086.2204963
2021,75686.230606,74571.721988
2022,76083.3252052,74977.7326561
2023,76559.8387243,75463.0909156
2024,77036.3522433,75948.3784171
2025,77512.8657623,76433.5957267
2026,77989.3792814,76918.743406
2027,78545.3117202,77483.2409319
2028,79021.8252393,77968.2510172
2029,79498.3387583,78453.19313
2030,80054.2711972,79017.4867339
2031,80610.203636,79581.7134485
2032,81166.1360749,80145.8738089
2033,81642.6495939,80630.549426
2034,82198.5820328,81194.5786663
2035,82833.9333915,81837.9620519
