year,annotation,diesel generation efficiency
2002,,11.62
2003,,13.14
2004,,11.64
2005,,11.01
2006,,13.3
2007,,12.38
2008,,12.73
2009,,13.15
2010,,12.93
2011,,12.59
2012,,12.84
2013,,12.66
2014,,12.46
2015,,12.66
2016,start of forecast,12.59
2017,,12.59
2018,,12.59
2019,,12.59
2020,,12.59
2021,,12.59
2022,,12.59
2023,,12.59
2024,,12.59
2025,,12.59
2026,,12.59
2027,,12.59
2028,,12.59
2029,,12.59
2030,,12.59
2031,,12.59
2032,,12.59
2033,,12.59
2034,,12.59
2035,,12.59
2036,,12.59
2037,,12.59
2038,,12.59
2039,,12.59
2040,,12.59
