year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2003,,9888.39,493323.0,493323.0
2004,,9888.39,784948.0,784948.0
2005,,9888.39,1019329.0,1019329.0
2006,,9888.39,1027482.0,1027482.0
2007,,9888.39,630996.0,630996.0
2008,,9888.39,636895.0,636895.0
2009,,9888.39,660462.0,660462.0
2010,,9888.39,654616.0,654616.0
2011,,9888.39,648797.0,648797.0
2012,,9888.39,691483.0,691483.0
2013,,9888.39,734429.0,734429.0
2014,start of forecast,9888.39,661000.0,661000.0
2015,,9888.39,657000.0,657000.0
2016,,9888.39,654000.0,654000.0
2017,,9888.39,650000.0,650000.0
2018,,9888.39,646000.0,646000.0
2019,,9888.39,643000.0,643000.0
2020,,9888.39,639000.0,639000.0
2021,,9888.39,636000.0,636000.0
2022,,9888.39,633000.0,633000.0
2023,,9888.39,630000.0,630000.0
2024,,9888.39,627000.0,627000.0
2025,,9888.39,624000.0,624000.0
2026,,9888.39,619000.0,619000.0
2027,,9888.39,616000.0,616000.0
2028,,9888.39,613000.0,613000.0
2029,,9888.39,609000.0,609000.0
2030,,9888.39,603000.0,603000.0
2031,,9888.39,599000.0,599000.0
2032,,9888.39,595000.0,595000.0
2033,,9888.39,591000.0,591000.0
2034,,9888.39,588000.0,588000.0
2035,,9888.39,583000.0,583000.0
2036,,9888.39,579000.0,579000.0
2037,,9888.39,575000.0,575000.0
2038,,9888.39,572000.0,572000.0
2039,,9888.39,568000.0,568000.0
2040,,9888.39,564000.0,564000.0
