year,Base case cost,Modeled solar power (pv)
2016,115633.04721,121969.438229
2017,137286.942181,143299.863637
2018,152463.709624,158251.869416
2019,173875.992378,179350.446162
2020,183018.854704,188360.971264
2021,189283.171472,194540.833405
2022,193454.582407,198659.472088
2023,196065.914454,201241.492919
2024,198142.019436,203296.358728
2025,200688.548207,205814.814936
2026,203537.492269,208621.722087
2027,206000.816832,211058.355919
2028,207940.114896,212978.766524
2029,210968.268021,215967.14799
2030,210819.460496,215814.748602
2031,213734.007876,218690.893373
2032,216590.952343,221510.247399
2033,219390.293897,224272.800142
2034,222980.875461,227820.537936
2035,223883.321095,228708.195843
