year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,27105.9549485,17618.8707165
2018,27198.4804959,17679.0123223
2019,27281.2916571,17732.8395771
2020,27355.3358479,17780.9683012
2021,27419.3579448,17822.5826641
2022,27473.7979158,17857.9686453
2023,27520.9770647,17888.6350921
2024,27560.663261,17914.4311197
2025,27590.9967626,17934.1478957
2026,27613.1247255,17948.5310716
2027,27627.8326139,17958.091199
2028,27635.943681,17963.3633927
2029,27641.1126306,17966.7232099
2030,27642.3164695,17967.5057052
2031,27635.3444608,17962.9738995
