year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,3281936.0,2866423.49265
2018,3295298.0,2879785.49265
2019,3307704.0,2892191.49265
2020,3318205.0,2902692.49265
2021,3326800.0,2911287.49265
2022,3335386.0,2919873.49265
2023,3342069.0,2926556.49265
2024,3347796.0,2932283.49265
2025,3351618.0,2936105.49265
2026,3355431.0,2939918.49265
2027,3357342.0,2941829.49265
2028,3358298.0,2942785.49265
2029,3359251.0,2943738.49265
2030,3359252.0,2943739.49265
2031,3358297.0,2942784.49265
2032,3356386.0,2940873.49265
2033,3353525.0,2938012.49265
2034,3349709.0,2934196.49265
2035,3345891.0,2930378.49265
2036,3342072.0,2926559.49265
