year,Base case cost,Modeled residential energy efficiency
2017,12688568.3556,13531746.3195
2018,13357075.0923,14018328.8422
2019,14254027.1669,14685366.5773
2020,14714833.9,15011683.2352
2021,15034754.1674,15226936.838
2022,15318954.0267,15415775.0881
2023,15496775.6228,15519809.2062
2024,15669142.0252,15619445.1387
2025,15829385.8348,15707990.7133
2026,16028717.2902,15828435.2737
2027,16196170.6749,15922084.5296
2028,16337922.7333,15995092.1541
2029,16518435.3346,16099602.4311
2030,16614999.968,16137474.9529
2031,16801202.077,16245388.5163
2032,16960904.3435,16331774.9248
2033,17132415.1382,16426725.3554
2034,17296142.5349,16514726.2205
2035,17401565.5657,16557532.0619
2036,17583008.8563,16660759.964
