year,Base case cost,Modeled biomass for heat (pellet)
2017,8767111.83679,9472315.26071
2018,9857301.41763,10418928.2701
2019,11349801.5335,11718239.0456
2020,12082656.9086,12353715.8596
2021,12579706.0816,12782709.5564
2022,13012418.8428,13155908.7413
2023,13272436.2159,13377414.3839
2024,13529525.7039,13596213.06
2025,13779584.9013,13808197.1861
2026,14097250.1667,14079687.8145
2027,14373866.2554,14314490.1375
2028,14613040.0604,14516206.2261
2029,14919519.4614,14777113.8755
2030,15087486.5027,14916321.2819
2031,15419026.989,15198513.633
2032,15712327.7104,15446804.0837
2033,16034286.9446,15719776.3789
2034,16351012.3152,15987689.0843
2035,16566587.7932,16167087.4616
2036,16915306.6098,16463174.8779
