year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,72408.77,3872290.54,5828933.63,29278.79,6680316.37,6859634.72
2018,81359.45,4336155.4,6453710.09,29445.36,6695310.22,6903365.01
2019,93610.93,4973969.58,7303013.84,29626.58,6715926.77,6951013.32
2020,99609.62,5278380.89,7731272.77,29751.06,6725766.49,6983561.13
2021,103681.45,5481321.77,8026066.4,29850.25,6732326.3,7008687.76
2022,107184.17,5655271.09,8286082.07,29934.9,6737948.99,7032871.95
2023,109294.7,5756741.53,8446216.06,30001.25,6741228.9,7050559.56
2024,111381.55,5858211.97,8602919.7,30059.42,6744508.81,7066222.32
2025,113435.51,5959682.41,8751568.29,30107.36,6747788.71,7077817.55
2026,116011.66,6090144.4,8938312.51,30150.5,6752005.73,7090404.78
2027,118283.68,6206110.61,9097745.31,30183.42,6755754.2,7098425.36
2028,120252.92,6307581.05,9234007.98,30207.0,6759034.1,7103914.75
2029,122763.12,6438043.04,9408044.0,30231.53,6763251.12,7110391.34
2030,124150.58,6510521.93,9502145.59,30243.33,6765593.91,7112854.38
2031,126882.8,6655479.7,9685468.14,30256.59,6770279.49,7115733.94
2032,129299.35,6785941.69,9844833.79,30258.8,6774496.51,7116070.56
2033,131976.93,6930899.46,10017570.37,30260.23,6779182.09,7114844.76
2034,134618.73,7075857.23,10184582.68,30254.35,6783867.67,7111559.85
2035,136418.34,7177327.67,10294773.83,30239.77,6787147.58,7106791.74
2036,139306.88,7336781.21,10479032.93,30231.67,6792301.72,7103975.92
2037,140784.14,7423755.87,10564015.95,30206.56,6795113.06,7096646.16
2038,143611.54,7583209.42,10735717.46,30187.89,6800267.2,7089695.53
2039,145587.9,7699175.63,10850702.07,30158.69,6804015.66,7081263.26
2040,148352.87,7858629.18,11014404.32,30130.37,6809169.8,7072219.52
