year,Base case cost,Modeled biomass for heat (pellet)
2017,285139.520437,309595.90303
2018,307068.380437,324547.625478
2019,338743.400437,346468.025116
2020,353362.640437,356237.419165
2021,363920.980437,363125.401858
2022,372042.780437,368290.356654
2023,377728.040437,371731.929873
2024,381788.940437,374029.148936
2025,387474.200437,377499.167815
2026,393971.640437,381562.284295
2027,399656.900437,385059.431072
2028,403717.800437,387410.921188
2029,410215.240437,391513.311958
2030,414276.140437,393890.066896
2031,420773.580437,398017.130344
2032,,
2033,,
2034,,
2035,,
2036,,
