year,Base case cost,Modeled biomass for heat (cordwood)
2017,285139.520437,338115.015134
2018,307068.380437,352862.582246
2019,338743.400437,374850.975935
2020,353362.640437,384261.665834
2021,363920.980437,390702.458745
2022,372042.780437,395373.660395
2023,377728.040437,398274.52032
2024,381788.940437,400004.842746
2025,387474.200437,402966.060395
2026,393971.640437,406556.937227
2027,399656.900437,409575.716491
2028,403717.800437,411421.194522
2029,410215.240437,415095.405919
2030,414276.140437,416994.492378
2031,420773.580437,420721.055756
2032,,
2033,,
2034,,
2035,,
2036,,
