year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,81218.0,57937.2818516
2018,81218.0,57937.2818516
2019,81218.0,57937.2818516
2020,81218.0,57937.2818516
2021,81218.0,57937.2818516
2022,81218.0,57937.2818516
2023,81218.0,57937.2818516
2024,81218.0,57937.2818516
2025,81218.0,57937.2818516
2026,81218.0,57937.2818516
2027,81218.0,57937.2818516
2028,81218.0,57937.2818516
2029,81218.0,57937.2818516
2030,81218.0,57937.2818516
2031,81218.0,57937.2818516
2032,,
2033,,
2034,,
2035,,
2036,,
