year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,32915.08,285140.49,80893.88,41075.23,112966.58,41854.52
2018,35446.94,307069.42,85284.74,43433.6,119449.6,44256.5
2019,39104.28,338744.55,97671.14,46840.57,128813.96,50237.93
2020,40792.76,353363.84,100791.47,48414.01,133135.97,51923.53
2021,42012.32,363922.22,103045.04,49550.59,136257.43,53140.91
2022,42950.92,372044.04,104778.56,50425.9,138658.54,54077.35
2023,43608.06,377729.32,105992.02,51038.87,140339.33,54732.87
2024,44077.77,381790.24,106858.78,51477.38,141539.89,55201.09
2025,44734.92,387475.52,108072.25,52090.35,143220.67,55856.6
2026,45485.96,393972.98,109459.06,52790.89,145141.56,56605.76
2027,46143.02,399658.26,110672.52,53403.64,146822.35,57261.27
2028,46612.42,403719.17,111539.28,53841.47,148022.9,57729.49
2029,47365.19,410216.63,112926.1,54545.64,149943.8,58478.65
2030,47835.88,414277.55,113792.86,54986.16,151144.36,58946.87
2031,48587.26,420775.01,115179.67,55687.36,153065.25,59696.03
2032,,,116739.84,,,60538.83
2033,,,118126.65,,,61287.98
2034,,,119686.82,,,62130.78
2035,,,120726.93,,,62692.65
2036,,,122287.1,,,63535.45
