year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,681194.4,9375.4,81218.28,16262.46
2018,681194.4,9375.53,81218.28,16262.46
2019,681052.69,9375.74,81218.28,17335.19
2020,680981.84,9375.94,81218.28,17335.19
2021,680981.84,9376.09,81218.28,17335.19
2022,680840.13,9376.31,81218.28,17335.19
2023,680840.13,9376.48,81218.28,17335.19
2024,680769.28,9376.67,81218.28,17335.19
2025,680698.42,9376.83,81218.28,17335.19
2026,680627.57,9377.02,81218.28,17335.19
2027,680556.71,9377.15,81218.28,17335.19
2028,680485.86,9377.26,81218.28,17335.19
2029,680344.15,9377.77,81218.28,17335.19
2030,680202.44,9378.13,81218.28,17335.19
2031,680131.59,9378.35,81218.28,17335.19
2032,680131.59,,,17335.19
2033,680202.44,,,17335.19
2034,680273.29,,,17335.19
2035,680344.15,,,17335.19
2036,680344.15,,,17335.19
