year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation solar [kWh/year],generation diesel [kWh/year]
2003,,11904.95,1319254.0,0.0,1319254.0
2004,,11904.95,1389866.0,0.0,1389866.0
2005,,11904.95,1353753.0,0.0,1353753.0
2006,,11904.95,1379315.0,0.0,1379315.0
2007,,11904.95,1350310.0,0.0,1350310.0
2008,,11904.95,1247440.0,0.0,1247440.0
2009,,11904.95,1226160.0,0.0,1226160.0
2010,,11904.95,1214805.0,0.0,1214805.0
2011,,11904.95,1179765.0,0.0,1179765.0
2012,,11904.95,1195831.0,0.0,1195831.0
2013,,11904.95,1142603.0,0.0,1142603.0
2014,start of forecast,11904.95,1162000.0,3005.0,1158995.0
2015,,11904.95,1162000.0,3005.0,1158995.0
2016,,11904.95,1162000.0,3005.0,1158995.0
2017,,11904.95,1162000.0,3005.0,1158995.0
2018,,11904.95,1162000.0,3005.0,1158995.0
2019,,11904.95,1163000.0,3005.0,1159995.0
2020,,11904.95,1163000.0,3005.0,1159995.0
2021,,11904.95,1163000.0,3005.0,1159995.0
2022,,11904.95,1163000.0,3005.0,1159995.0
2023,,11904.95,1163000.0,3005.0,1159995.0
2024,,11904.95,1163000.0,3005.0,1159995.0
2025,,11904.95,1163000.0,3005.0,1159995.0
2026,,11904.95,1163000.0,3005.0,1159995.0
2027,,11904.95,1163000.0,3005.0,1159995.0
2028,,11904.95,1163000.0,3005.0,1159995.0
2029,,11904.95,1163000.0,3005.0,1159995.0
2030,,11904.95,1163000.0,3005.0,1159995.0
2031,,11904.95,1163000.0,3005.0,1159995.0
2032,,11904.95,1163000.0,3005.0,1159995.0
2033,,11904.95,1163000.0,3005.0,1159995.0
2034,,11904.95,1163000.0,3005.0,1159995.0
2035,,11904.95,1163000.0,3005.0,1159995.0
2036,,11904.95,1162000.0,3005.0,1158995.0
2037,,11904.95,1162000.0,3005.0,1158995.0
2038,,11904.95,1162000.0,3005.0,1158995.0
2039,,11904.95,1161000.0,3005.0,1157995.0
2040,,11904.95,1161000.0,3005.0,1157995.0
