year,Base case cost,Modeled water and wastewater efficiency
2017,117868.976397,97179.7790863
2018,123256.565344,100953.873817
2019,130566.118428,106074.270369
2020,134032.828602,108502.831063
2021,136537.459935,110257.439157
2022,138267.554657,111469.352122
2023,139415.326488,112273.215481
2024,140367.849228,112940.235557
2025,141518.600206,113746.260602
2026,143059.350078,114825.611441
2027,144216.476173,115636.25747
2028,145183.444327,116313.749531
2029,146529.737144,117256.829405
2030,147488.138402,117928.112684
2031,148829.260307,118867.446208
