year,Base case cost,Modeled wind power
2019,303887.645261,487462.951766
2020,319742.65284,499645.922945
2021,331193.491647,508444.735463
2022,339120.995437,514536.221053
2023,344405.997963,518597.211446
2024,348810.166735,521981.370106
2025,354095.169261,526042.360499
2026,361141.839296,531457.014356
2027,366426.841822,535518.004749
2028,370831.010594,538902.16341
2029,376996.846875,543639.985535
2030,381401.015647,547024.144196
2031,387566.851928,551761.966321
2032,394613.521963,557176.620178
2033,401660.191998,562591.274036
2034,408706.862033,568005.927893
2035,413111.030805,571390.086554
2036,419795.494364,576442.533935
2037,424195.866422,579822.895882
2038,431236.461716,585231.474998
