year,Base case cost,Modeled biomass for heat (cordwood)
2017,237406.606691,266122.824366
2018,252720.366691,277449.423551
2019,273503.326691,292821.23673
2020,283347.886691,300102.621921
2021,290457.846691,305361.400114
2022,295380.126691,309002.092709
2023,298661.646691,311429.221106
2024,301396.246691,313451.828103
2025,304677.766691,315878.9565
2026,309053.126691,319115.127695
2027,312334.646691,321542.256092
2028,315069.246691,323564.86309
2029,318897.686691,326396.512886
2030,321632.286691,328419.119883
2031,325460.726691,331250.769679
2032,,
2033,,
2034,,
2035,,
2036,,
